20220101,2022-01-01,Saturday,January,Jan,1,1,2022
20220102,2022-01-02,Sunday,January,Jan,1,1,2022
20220103,2022-01-03,Monday,January,Jan,1,1,2022
20220104,2022-01-04,Tuesday,January,Jan,1,1,2022
20220105,2022-01-05,Wednesday,January,Jan,1,1,2022
20220106,2022-01-06,Thursday,January,Jan,1,1,2022
20220107,2022-01-07,Friday,January,Jan,1,1,2022
20220108,2022-01-08,Saturday,January,Jan,1,1,2022
20220109,2022-01-09,Sunday,January,Jan,1,1,2022
20220110,2022-01-10,Monday,January,Jan,1,1,2022
20220111,2022-01-11,Tuesday,January,Jan,1,1,2022
20220112,2022-01-12,Wednesday,January,Jan,1,1,2022
20220113,2022-01-13,Thursday,January,Jan,1,1,2022
20220114,2022-01-14,Friday,January,Jan,1,1,2022
20220115,2022-01-15,Saturday,January,Jan,1,1,2022
20220116,2022-01-16,Sunday,January,Jan,1,1,2022
20220117,2022-01-17,Monday,January,Jan,1,1,2022
20220118,2022-01-18,Tuesday,January,Jan,1,1,2022
20220119,2022-01-19,Wednesday,January,Jan,1,1,2022
20220120,2022-01-20,Thursday,January,Jan,1,1,2022
20220121,2022-01-21,Friday,January,Jan,1,1,2022
20220122,2022-01-22,Saturday,January,Jan,1,1,2022
20220123,2022-01-23,Sunday,January,Jan,1,1,2022
20220124,2022-01-24,Monday,January,Jan,1,1,2022
20220125,2022-01-25,Tuesday,January,Jan,1,1,2022
20220126,2022-01-26,Wednesday,January,Jan,1,1,2022
20220127,2022-01-27,Thursday,January,Jan,1,1,2022
20220128,2022-01-28,Friday,January,Jan,1,1,2022
20220129,2022-01-29,Saturday,January,Jan,1,1,2022
20220130,2022-01-30,Sunday,January,Jan,1,1,2022
20220131,2022-01-31,Monday,January,Jan,1,1,2022
20220201,2022-02-01,Tuesday,February,Feb,2,1,2022
20220202,2022-02-02,Wednesday,February,Feb,2,1,2022
20220203,2022-02-03,Thursday,February,Feb,2,1,2022
20220204,2022-02-04,Friday,February,Feb,2,1,2022
20220205,2022-02-05,Saturday,February,Feb,2,1,2022
20220206,2022-02-06,Sunday,February,Feb,2,1,2022
20220207,2022-02-07,Monday,February,Feb,2,1,2022
